datetime,weight,failure,cycle_time,mold_open_position,mold_time,hold_position,cushion_position,feeding_time,feeding_position,nozzle_temperature,front_temperature,intermediate_temperature,rear_temperature,hopper_temperature,set_nozzle_temperature,set_front_temperature,set_intermediate_temperature,set_rear_temperature,set_mold_velocity_1,set_mold_velocity_2,set_mold_velocity_3,set_mold_velocity_4,set_mold_velocity_5,set_mold_pressure_1,set_mold_pressure_2,set_mold_pressure_3,set_mold_pressure_4,set_mold_pressure_5,set_mold_position_1,set_mold_position_2,set_mold_position_3,set_mold_position_4,set_mold_position_5,set_mold_time_1,set_mold_time_2,set_mold_time_3,set_mold_time_4,set_mold_time_5,set_hold_velocity_1,set_hold_velocity_2,set_hold_velocity_3,set_hold_pressure_1,set_hold_pressure_2,set_hold_pressure_3,set_hold_time_1,set_hold_time_2,set_hold_time_3,set_feed_velocity_1,set_feed_velocity_2,set_feed_velocity_3,set_feed_velocity_4,set_feed_velocity_5,set_feed_pressure_1,set_feed_pressure_2,set_feed_pressure_3,set_feed_pressure_4,set_feed_pressure_5,set_feed_position_1,set_feed_position_2,set_feed_position_3,set_feed_position_4,set_feed_position_5,set_cooling_time,mold_name
2021.11.30 14:50,253,0,28.2,351.2,4.8,14.8,12.7,7.4,95,289,260,260,248,26,290,260,260,250,80,90,90,85,60,90,90,90,80,70,85,40,25,20,15,3,3,2,2,2,20,0,0,60,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 14:51,249,0,29.2,351.4,5.2,14.9,12.7,7,95.1,289,260,260,247,26,290,260,260,250,80,90,90,85,60,90,90,90,80,70,85,40,25,20,15,3,3,2,2,2,20,0,0,60,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 14:52,233,1,29.2,350.4,8.1,18.5,18.5,6.6,95,290,260,260,247,26,290,260,260,250,80,90,90,85,60,80,80,80,70,60,85,40,25,20,15,3,3,2,2,2,20,0,0,60,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 14:52,232,1,31.7,351.6,8,19.3,19.2,6.6,95.2,290,260,260,246,26,290,260,260,250,80,90,90,85,60,80,80,80,70,60,85,40,25,20,15,3,3,2,2,2,20,0,0,60,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 15:49,247,0,31.5,351.4,2,29.6,8.3,6.5,95,289,267,269,260,26,290,270,270,260,80,50,0,0,0,100,70,0,0,0,40,30,0,0,0,3,3,0,0,0,20,0,0,60,0,0,0,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-9   
2021.11.30 15:50,211,1,25.5,350,1.2,29.6,29.5,5.9,95,289,265,269,261,26,290,270,270,260,80,50,0,0,0,100,70,0,0,0,40,30,0,0,0,3,3,0,0,0,20,0,0,60,0,0,0,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-9   
2021.11.30 15:51,208,1,24.1,351.5,1.4,29.9,29.8,5.7,95,289,268,268,260,26,290,270,270,260,80,50,0,0,0,100,70,0,0,0,40,30,0,0,0,3,3,0,0,0,20,0,0,60,0,0,0,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-9   
2021.11.30 15:52,235,1,24.1,351.1,1.8,19.8,19.5,6.6,95.2,290,271,268,258,26,290,270,270,260,80,50,0,0,0,100,70,0,0,0,40,20,0,0,0,3,3,0,0,0,20,0,0,60,0,0,0,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-9   
2021.11.30 15:54,245,0,25.5,351.1,2.2,14.7,14.7,7.8,95.2,291,272,269,256,26,290,270,270,260,80,50,0,0,0,100,70,0,0,0,40,15,0,0,0,3,3,0,0,0,20,0,0,60,0,0,0,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-9   
2021.11.30 15:55,237,1,27,351.8,2.1,14.7,14.5,6.8,95.3,290,270,269,257,26,290,270,270,260,80,50,0,0,0,100,70,0,0,0,40,15,0,0,0,3,3,0,0,0,20,0,0,60,0,0,0,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-9   
2021.11.30 15:56,249,0,25.8,350.6,3.1,14.8,11.3,7.4,95,290,269,269,257,26,290,270,270,260,80,50,0,0,0,100,70,0,0,0,40,15,0,0,0,3,3,0,0,0,20,0,0,50,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-9   
2021.11.30 15:56,247,0,27.4,351.4,3.2,14.8,11.1,6.9,95,289,267,269,257,26,290,270,270,260,80,50,0,0,0,100,70,0,0,0,40,15,0,0,0,3,3,0,0,0,20,0,0,50,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-9   
2021.11.30 16:11,241,1,27,351.3,3,14.9,10.2,6.6,95.1,288,251,255,238,27,290,250,250,240,80,50,0,0,0,100,70,0,0,0,40,15,0,0,0,3,3,0,0,0,20,0,0,50,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-9   
2021.11.30 16:12,247,0,26.8,350,3.5,14.9,12.7,6.7,95,288,249,254,239,27,290,250,250,240,80,50,0,0,0,100,70,0,0,0,40,15,0,0,0,3,3,0,0,0,20,0,0,50,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-9   
