datetime,weight,failure,cycle_time,mold_open_position,mold_time,hold_position,cushion_position,feeding_time,feeding_position,nozzle_temperature,front_temperature,intermediate_temperature,rear_temperature,hopper_temperature,set_nozzle_temperature,set_front_temperature,set_intermediate_temperature,set_rear_temperature,set_mold_velocity_1,set_mold_velocity_2,set_mold_velocity_3,set_mold_velocity_4,set_mold_velocity_5,set_mold_pressure_1,set_mold_pressure_2,set_mold_pressure_3,set_mold_pressure_4,set_mold_pressure_5,set_mold_position_1,set_mold_position_2,set_mold_position_3,set_mold_position_4,set_mold_position_5,set_mold_time_1,set_mold_time_2,set_mold_time_3,set_mold_time_4,set_mold_time_5,set_hold_velocity_1,set_hold_velocity_2,set_hold_velocity_3,set_hold_pressure_1,set_hold_pressure_2,set_hold_pressure_3,set_hold_time_1,set_hold_time_2,set_hold_time_3,set_feed_velocity_1,set_feed_velocity_2,set_feed_velocity_3,set_feed_velocity_4,set_feed_velocity_5,set_feed_pressure_1,set_feed_pressure_2,set_feed_pressure_3,set_feed_pressure_4,set_feed_pressure_5,set_feed_position_1,set_feed_position_2,set_feed_position_3,set_feed_position_4,set_feed_position_5,set_cooling_time,mold_name
2021.11.26 8:47,152,1,0,350.1,4.4,39.8,33.8,6.7,100,249,226,227,228,22,250,230,230,230,30,40,40,0,0,40,50,50,0,0,95,50,40,0,0,3,2,1,0,0,15,0,0,30,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 8:47,183,0,29.3,350.8,5.2,29.9,23.9,7.5,100,250,227,226,227,22,250,230,230,230,30,40,40,0,0,40,50,50,0,0,95,40,30,0,0,3,2,1,0,0,15,0,0,30,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 8:49,187,0,30.1,350.8,4.8,24.7,20.5,7.6,100.2,251,229,227,226,22,250,230,230,230,30,40,40,0,0,40,50,50,0,0,95,30,25,0,0,3,2,1,0,0,15,0,0,30,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 8:50,186,0,29.8,350.6,4.7,24.8,20.7,7.8,100,251,230,227,226,22,250,230,230,230,30,40,40,0,0,40,50,50,0,0,95,30,25,0,0,3,2,1,0,0,15,0,0,30,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 10:09,187,0,29.8,350.9,4.8,24.7,19.5,7.8,100.3,249,209,210,210,22,250,210,210,210,30,40,40,0,0,40,50,50,0,0,95,30,25,0,0,3,2,1,0,0,15,0,0,30,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 10:10,187,0,30,351.2,4.9,24.7,20.9,8.2,100.2,249,208,209,210,23,250,210,210,210,30,40,40,0,0,40,50,50,0,0,95,30,25,0,0,3,2,1,0,0,15,0,0,30,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 10:16,183,0,30.5,350.9,5.2,24.8,19.9,7.5,100.1,252,219,218,213,23,250,220,220,220,30,40,40,0,0,40,50,50,0,0,95,30,25,0,0,3,2,1,0,0,15,0,0,30,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 10:16,185,0,30.2,350.8,5,24.9,20.4,8.1,100.1,252,220,219,215,23,250,220,220,220,30,40,40,0,0,40,50,50,0,0,95,30,25,0,0,3,2,1,0,0,15,0,0,30,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 10:17,185,0,30.2,351.3,5,24.8,19.6,8.5,100,252,221,220,216,23,250,220,220,220,30,40,40,0,0,40,50,50,0,0,95,30,25,0,0,3,2,1,0,0,15,0,0,30,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 10:33,184,0,30.8,351.6,4.2,24.6,14.9,7.2,100.1,249,239,241,229,23,250,240,240,230,30,40,40,0,0,40,50,50,0,0,95,30,25,0,0,3,2,1,0,0,15,0,0,30,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 10:34,184,0,28.7,350.2,4.4,24.5,18.3,7.1,100.1,249,238,241,228,23,250,240,240,230,30,40,40,0,0,40,50,50,0,0,95,30,25,0,0,3,2,1,0,0,15,0,0,30,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 10:35,183,0,28.7,351.6,5.1,24.9,21,6.8,100,250,238,238,225,23,250,230,230,230,20,30,30,0,0,40,50,50,0,0,95,30,25,0,0,3,2,1,0,0,15,0,0,20,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 10:36,182,0,29.1,351.3,5.1,24.6,20.7,7.2,100.1,250,238,238,225,23,250,230,230,230,20,30,30,0,0,40,50,50,0,0,95,30,25,0,0,3,2,1,0,0,15,0,0,20,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 10:38,171,0,29.6,351.1,5.8,29.2,23.5,6.9,99.8,249,236,236,224,23,250,230,230,230,30,40,40,0,0,30,40,40,0,0,95,30,25,0,0,3,2,1,0,0,15,0,0,20,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 10:38,170,0,29.8,350.7,5.7,30,24.7,7.1,100.3,249,236,234,224,23,250,230,230,230,30,40,40,0,0,30,40,40,0,0,95,30,25,0,0,3,2,1,0,0,15,0,0,20,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 10:39,181,0,29.8,351.1,4.2,24.7,20,7.6,100.1,249,234,233,226,23,250,230,230,230,30,40,40,0,0,50,60,60,0,0,95,30,25,0,0,3,2,1,0,0,15,0,0,20,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 10:40,181,0,28.9,350.1,4.2,24.8,18.2,8,99.9,249,233,232,226,23,250,230,230,230,30,40,40,0,0,50,60,60,0,0,95,30,25,0,0,3,2,1,0,0,15,0,0,20,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-4   
2021.11.26 11:08,151,1,29.4,351.3,5.5,33.1,33.2,6.7,100.1,229,204,210,187,24,230,200,200,190,60,20,0,0,0,50,30,0,0,0,40,1,0,0,0,3,2,0,0,0,15,0,0,20,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-5   
2021.11.26 11:08,159,1,29.5,351,5.8,34.6,34.8,7,100,229,203,210,188,24,230,200,200,190,60,20,0,0,0,50,30,0,0,0,40,1,0,0,0,3,2,0,0,0,15,0,0,20,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-5   
2021.11.26 11:09,156,1,30,351.2,6,34.8,34.6,7.1,100,229,204,209,189,24,230,200,200,190,60,20,0,0,0,50,30,0,0,0,25,1,0,0,0,3,2,0,0,0,15,0,0,20,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-5   
2021.11.26 11:10,190,0,30.3,352.3,5.6,18.1,20,8.8,99.9,230,205,208,189,24,230,200,200,190,70,30,0,0,0,60,50,0,0,0,25,1,0,0,0,3,2,0,0,0,15,0,0,20,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-5   
2021.11.26 11:11,183,0,31.4,351.8,5.6,20.7,22.7,9,100.1,230,205,208,189,24,230,200,200,190,70,30,0,0,0,60,50,0,0,0,25,1,0,0,0,3,2,0,0,0,15,0,0,20,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-5   
2021.11.26 12:48,125,1,28.6,351.5,6,41.5,43.2,6.2,100,239,198,199,189,23,240,200,200,190,70,30,0,0,0,60,50,0,0,0,25,1,0,0,0,5,3,0,0,0,15,0,0,20,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-5   
2021.11.26 12:49,186,0,29.6,351.3,7.8,19.9,21.7,9,100.3,239,197,199,189,23,240,200,200,190,70,30,0,0,0,60,50,0,0,0,25,1,0,0,0,5,3,0,0,0,15,0,0,20,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-5   
2021.11.26 12:49,188,0,34,351.7,5.7,19.7,22.1,9.3,100,239,197,199,189,23,240,200,200,190,70,30,0,0,0,80,50,0,0,0,25,1,0,0,0,5,3,0,0,0,15,0,0,20,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-5   
2021.11.26 12:50,187,0,32.1,352.4,5.7,19,20.9,9.8,100,239,197,199,189,23,240,200,200,190,70,30,0,0,0,80,50,0,0,0,25,1,0,0,0,5,3,0,0,0,15,0,0,20,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-5   
2021.11.26 12:59,191,0,32.7,352,6,15.6,17.2,9.1,100,239,199,196,178,24,240,190,190,180,70,30,0,0,0,80,50,0,0,0,25,1,0,0,0,5,3,0,0,0,15,0,0,20,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-5   
2021.11.26 13:00,192,0,32.3,350.8,5.7,17.4,19.2,9.9,100.2,239,198,196,177,24,240,190,190,180,70,30,0,0,0,80,50,0,0,0,25,1,0,0,0,5,3,0,0,0,15,0,0,20,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-5   
2021.11.26 13:43,193,0,32.8,351.2,5.4,13.4,15.4,8.1,100.3,239,215,214,200,24,240,210,210,200,70,30,0,0,0,80,50,0,0,0,25,1,0,0,0,5,3,0,0,0,15,0,0,20,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-5   
2021.11.26 13:43,193,0,31.2,351.2,5.5,17.2,19.1,8.3,100.1,239,214,213,200,24,240,210,210,200,70,30,0,0,0,80,50,0,0,0,27,1,0,0,0,5,3,0,0,0,15,0,0,20,0,0,1,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,90,100,10,ELPCB-5   
